"cell_id","step_ix","simulation_i","sim_time"
"cell1",1247,14,350.083333333324
"cell2",2081,23,410.08333333331
"cell3",1489,17,10
"cell4",265,3,650.000000000016
"cell5",605,7,370.083333333319
"cell6",701,8,410.08333333331
"cell7",1330,15,260.000000000011
"cell8",630,7,620.000000000003
"cell9",763,9,110.083333333331
"cell10",1426,16,300.000000000002
"cell11",686,8,260.000000000011
"cell12",606,7,380.083333333317
"cell13",204,3,40
"cell14",1880,21,240.00000000001
"cell15",1898,21,420.083333333308
"cell16",110,2,20.0833333333333
"cell17",576,7,80.0833333333331
"cell18",1976,22,280.000000000006
"cell19",321,4,290.000000000004
"cell20",1973,22,250.000000000011
"cell21",58,1,420.083333333308
"cell22",213,3,130.083333333331
"cell23",1794,20,300.000000000002
"cell24",955,11,190.000000000004
"cell25",410,5,260.000000000011
"cell26",1135,13,150.083333333333
"cell27",211,3,110.083333333331
"cell28",173,2,650.000000000016
"cell29",1914,21,580.083333333318
"cell30",607,7,390.083333333314
"cell31",581,7,130.083333333331
"cell32",1242,14,300.000000000002
"cell33",364,4,720.000000000048
"cell34",72,1,560.083333333309
"cell35",1787,20,230.000000000009
"cell36",587,7,190.000000000004
"cell37",440,5,560.083333333309
"cell38",1134,13,140.083333333332
"cell39",140,2,320.08333333333
"cell40",1335,15,310.083333333333
"cell41",1238,14,260.000000000011
"cell42",1354,15,500.083333333289
"cell43",1052,12,240.00000000001
"cell44",942,11,60.0000000000006
"cell45",1403,16,70.0000000000004
"cell46",1597,18,170.000000000002
"cell47",391,5,70.0000000000004
"cell48",1195,13,750.000000000062
"cell49",790,9,380.083333333317
"cell50",1399,16,30.0833333333332
"cell51",1341,15,370.083333333319
"cell52",204,3,40
"cell53",2154,24,220.000000000008
"cell54",2062,23,220.000000000008
"cell55",904,10,600.083333333327
"cell56",855,10,110.083333333331
"cell57",1996,22,480.083333333294
"cell58",1793,20,290.000000000004
"cell59",1491,17,30.0833333333332
"cell60",1124,13,40
"cell61",411,5,270.000000000008
