"feature_id","module_id","is_tf","is_hk","basal"
"Burn1_TF1","Burn1",TRUE,FALSE,1
"Burn2_TF1","Burn2",TRUE,FALSE,0
"Burn3_TF1","Burn3",TRUE,FALSE,0
"Burn4_TF1","Burn4",TRUE,FALSE,0
"A1_TF1","A1",TRUE,FALSE,0
"A2_TF1","A2",TRUE,FALSE,0
"A3_TF1","A3",TRUE,FALSE,0
"A4_TF1","A4",TRUE,FALSE,0
"A5_TF1","A5",TRUE,FALSE,0
"A6_TF1","A6",TRUE,FALSE,0
"B1_TF1","B1",TRUE,FALSE,0
"B2_TF1","B2",TRUE,FALSE,0
"B3_TF1","B3",TRUE,FALSE,0
"B4_TF1","B4",TRUE,FALSE,1
"B5_TF1","B5",TRUE,FALSE,1
"B6_TF1","B6",TRUE,FALSE,0
"B7_TF1","B7",TRUE,FALSE,0
"B8_TF1","B8",TRUE,FALSE,0
"B9_TF1","B9",TRUE,FALSE,0
"B10_TF1","B10",TRUE,FALSE,0
"B11_TF1","B11",TRUE,FALSE,0
"B12_TF1","B12",TRUE,FALSE,0
"B13_TF1","B13",TRUE,FALSE,0
"B14_TF1","B14",TRUE,FALSE,0
"C1_TF1","C1",TRUE,FALSE,0
"C2_TF1","C2",TRUE,FALSE,0
"C3_TF1","C3",TRUE,FALSE,0
"C4_TF1","C4",TRUE,FALSE,0
"C5_TF1","C5",TRUE,FALSE,0
"C6_TF1","C6",TRUE,FALSE,0
"D1_TF1","D1",TRUE,FALSE,0
"D2_TF1","D2",TRUE,FALSE,0
"D3_TF1","D3",TRUE,FALSE,0
"D4_TF1","D4",TRUE,FALSE,0
"Target1",NA,FALSE,FALSE,1e-04
"Target2",NA,FALSE,FALSE,0.5
"Target3",NA,FALSE,FALSE,1e-04
"Target4",NA,FALSE,FALSE,1
"Target5",NA,FALSE,FALSE,1e-04
"Target6",NA,FALSE,FALSE,0.5
"Target7",NA,FALSE,FALSE,1e-04
"Target8",NA,FALSE,FALSE,1e-04
"Target9",NA,FALSE,FALSE,1e-04
"Target10",NA,FALSE,FALSE,1e-04
"Target11",NA,FALSE,FALSE,1
"Target12",NA,FALSE,FALSE,1e-04
"Target13",NA,FALSE,FALSE,1e-04
"Target14",NA,FALSE,FALSE,1e-04
