"cell_id","step_ix","simulation_i","sim_time"
"cell1",817,9,330.083333333328
"cell2",510,6,140.083333333332
"cell3",2082,22,500.083333333289
"cell4",1943,21,70.0000000000004
"cell5",409,5,90.0833333333326
"cell6",1623,17,710.000000000043
"cell7",338,4,340.083333333326
"cell8",711,8,230.000000000009
"cell9",1296,14,320.08333333333
"cell10",2304,24,802.8
"cell11",704,8,160.000000000001
"cell12",2235,24,110.083333333331
"cell13",1958,21,220.000000000008
"cell14",38,1,220.000000000008
"cell15",1649,18,10
"cell16",1553,17,10
"cell17",887,10,70.0000000000004
"cell18",217,3,90.0833333333326
"cell19",1304,14,400.083333333312
"cell20",1970,21,340.083333333326
"cell21",145,2,330.083333333328
"cell22",1276,14,120.083333333331
"cell23",2223,24,0
"cell24",2260,24,360.083333333321
"cell25",800,9,160.000000000001
"cell26",212,3,40
"cell27",1793,19,490.083333333292
"cell28",2060,22,280.000000000006
"cell29",1167,13,0
"cell30",1974,21,380.083333333317
"cell31",530,6,340.083333333326
"cell32",2204,23,760.000000000066
"cell33",1267,14,30.0833333333332
"cell34",2042,22,100.083333333332
"cell35",1307,14,430.083333333305
"cell36",817,9,330.083333333328
"cell37",2137,23,90.0833333333326
"cell38",335,4,310.083333333333
"cell39",632,7,400.083333333312
"cell40",2146,23,180.000000000003
"cell41",1316,14,520.08333333329
"cell42",1684,18,360.083333333321
"cell43",1767,19,230.000000000009
"cell44",1084,12,120.083333333331
"cell45",613,7,210.000000000006
"cell46",1379,15,190.000000000004
"cell47",2155,23,270.000000000008
"cell48",418,5,180.000000000003
"cell49",308,4,40
"cell50",247,3,390.083333333314
"cell51",1584,17,320.08333333333
"cell52",1664,18,160.000000000001
"cell53",626,7,340.083333333326
"cell54",1305,14,410.08333333331
"cell55",49,1,330.083333333328
"cell56",241,3,330.083333333328
"cell57",709,8,210.000000000006
"cell58",791,9,70.0000000000004
"cell59",1391,15,310.083333333333
"cell60",533,6,370.083333333319
"cell61",46,1,300.000000000002
"cell62",1564,17,120.083333333331
"cell63",2291,24,670.000000000025
"cell64",643,7,510.083333333287
"cell65",2154,23,260.000000000011
"cell66",1082,12,100.083333333332
"cell67",1265,14,10
"cell68",692,8,40
"cell69",125,2,130.083333333331
"cell70",1863,20,230.000000000009
"cell71",1682,18,340.083333333326
"cell72",621,7,290.000000000004
"cell73",1020,11,440.083333333303
"cell74",621,7,290.000000000004
"cell75",1648,18,0
"cell76",720,8,320.08333333333
"cell77",1584,17,320.08333333333
"cell78",1973,21,370.083333333319
"cell79",995,11,190.000000000004
"cell80",2059,22,270.000000000008
"cell81",2188,23,600.083333333327
"cell82",1390,15,300.000000000002
"cell83",1972,21,360.083333333321
"cell84",122,2,100.083333333332
"cell85",515,6,190.000000000004
"cell86",604,7,120.083333333331
"cell87",523,6,270.000000000008
"cell88",1201,13,330.083333333328
"cell89",1390,15,300.000000000002
"cell90",1176,13,80.0833333333331
"cell91",405,5,50.0000000000003
"cell92",1676,18,280.000000000006
"cell93",19,1,30.0833333333332
"cell94",218,3,100.083333333332
"cell95",798,9,140.083333333332
"cell96",1286,14,220.000000000008
"cell97",404,5,40
"cell98",1288,14,240.00000000001
"cell99",2171,23,430.083333333305
"cell100",1565,17,130.083333333331
"cell101",1289,14,250.000000000011
"cell102",220,3,120.083333333331
"cell103",1370,15,100.083333333332
"cell104",1302,14,380.083333333317
"cell105",1275,14,110.083333333331
"cell106",533,6,370.083333333319
"cell107",1038,11,620.000000000003
"cell108",2066,22,340.083333333326
"cell109",1301,14,370.083333333319
"cell110",979,11,30.0833333333332
"cell111",800,9,160.000000000001
"cell112",919,10,390.083333333314
"cell113",2051,22,190.000000000004
"cell114",1778,19,340.083333333326
"cell115",1844,20,40
"cell116",2166,23,380.083333333317
"cell117",1170,13,20.0833333333333
"cell118",823,9,390.083333333314
"cell119",479,5,790.00000000008
"cell120",2148,23,200.000000000005
"cell121",1672,18,240.00000000001
"cell122",440,5,400.083333333312
"cell123",2164,23,360.083333333321
"cell124",1762,19,180.000000000003
"cell125",430,5,300.000000000002
"cell126",622,7,300.000000000002
"cell127",621,7,290.000000000004
"cell128",1790,19,460.083333333299
"cell129",806,9,220.000000000008
"cell130",1903,20,630.000000000007
"cell131",339,4,350.083333333324
"cell132",907,10,270.000000000008
"cell133",155,2,430.083333333305
"cell134",1246,13,780.000000000075
"cell135",1948,21,120.083333333331
"cell136",1309,14,450.083333333301
"cell137",800,9,160.000000000001
"cell138",1709,18,610.083333333331
"cell139",608,7,160.000000000001
"cell140",436,5,360.083333333321
"cell141",44,1,280.000000000006
"cell142",564,6,680.00000000003
"cell143",1087,12,150.083333333333
"cell144",499,6,30.0833333333332
"cell145",1003,11,270.000000000008
"cell146",1368,15,80.0833333333331
"cell147",699,8,110.083333333331
"cell148",757,8,690.000000000034
"cell149",816,9,320.08333333333
"cell150",440,5,400.083333333312
"cell151",2142,23,140.083333333332
"cell152",713,8,250.000000000011
"cell153",523,6,270.000000000008
"cell154",339,4,350.083333333324
"cell155",1140,12,680.00000000003
"cell156",1099,12,270.000000000008
"cell157",1200,13,320.08333333333
"cell158",1282,14,180.000000000003
"cell159",432,5,320.08333333333
"cell160",1721,18,730.000000000053
"cell161",1398,15,380.083333333317
"cell162",138,2,260.000000000011
"cell163",1884,20,440.083333333303
"cell164",42,1,260.000000000011
"cell165",716,8,280.000000000006
"cell166",265,3,570.083333333313
"cell167",1096,12,240.00000000001
"cell168",1578,17,260.000000000011
"cell169",1524,16,680.00000000003
"cell170",1680,18,320.08333333333
"cell171",412,5,120.083333333331
"cell172",1906,20,660.000000000021
"cell173",1081,12,90.0833333333326
"cell174",879,10,0
"cell175",1288,14,240.00000000001
"cell176",975,11,0
"cell177",1200,13,320.08333333333
"cell178",1858,20,180.000000000003
"cell179",2248,24,240.00000000001
"cell180",1168,13,0
"cell181",917,10,370.083333333319
"cell182",1013,11,370.083333333319
"cell183",1180,13,120.083333333331
"cell184",1009,11,330.083333333328
"cell185",1766,19,220.000000000008
"cell186",333,4,290.000000000004
"cell187",1719,18,710.000000000043
"cell188",2037,22,50.0000000000003
"cell189",1888,20,480.083333333294
"cell190",1091,12,190.000000000004
"cell191",1374,15,140.083333333332
"cell192",1485,16,290.000000000004
"cell193",2246,24,220.000000000008
"cell194",904,10,240.00000000001
"cell195",210,3,20.0833333333333
"cell196",621,7,290.000000000004
"cell197",1365,15,50.0000000000003
"cell198",1557,17,50.0000000000003
"cell199",1872,20,320.08333333333
"cell200",818,9,340.083333333326
"cell201",1848,20,80.0833333333331
"cell202",1006,11,300.000000000002
"cell203",113,2,10
"cell204",1307,14,430.083333333305
"cell205",1891,20,510.083333333287
"cell206",717,8,290.000000000004
"cell207",1586,17,340.083333333326
"cell208",1531,16,750.000000000062
"cell209",77,1,610.083333333331
"cell210",1374,15,140.083333333332
"cell211",336,4,320.08333333333
"cell212",454,5,540.083333333299
"cell213",524,6,280.000000000006
"cell214",1976,21,400.083333333312
"cell215",623,7,310.083333333333
"cell216",210,3,20.0833333333333
"cell217",631,7,390.083333333314
"cell218",84,1,680.00000000003
"cell219",1006,11,300.000000000002
"cell220",1101,12,290.000000000004
"cell221",1980,21,440.083333333303
"cell222",959,10,790.00000000008
"cell223",897,10,170.000000000002
"cell224",404,5,40
"cell225",1978,21,420.083333333308
"cell226",1106,12,340.083333333326
"cell227",927,10,470.083333333296
"cell228",811,9,270.000000000008
"cell229",502,6,60.0000000000006
"cell230",2048,22,160.000000000001
"cell231",1528,16,720.000000000048
"cell232",126,2,140.083333333332
"cell233",648,7,560.083333333309
"cell234",1763,19,190.000000000004
"cell235",273,3,650.000000000016
"cell236",2285,24,610.083333333331
"cell237",1089,12,170.000000000002
"cell238",652,7,600.083333333327
"cell239",1784,19,400.083333333312
"cell240",1225,13,570.083333333313
"cell241",2042,22,100.083333333332
"cell242",1570,17,180.000000000003
"cell243",2253,24,290.000000000004
"cell244",1188,13,200.000000000005
"cell245",1488,16,320.08333333333
"cell246",1585,17,330.083333333328
"cell247",1007,11,310.083333333333
"cell248",2147,23,190.000000000004
"cell249",184,2,720.000000000048
"cell250",2296,24,720.000000000048
"cell251",927,10,470.083333333296
"cell252",1870,20,300.000000000002
"cell253",623,7,310.083333333333
"cell254",528,6,320.08333333333
"cell255",613,7,210.000000000006
"cell256",218,3,100.083333333332
"cell257",15,1,0
"cell258",1678,18,300.000000000002
"cell259",1081,12,90.0833333333326
"cell260",671,7,790.00000000008
"cell261",2228,24,40
"cell262",1955,21,190.000000000004
"cell263",1111,12,390.083333333314
"cell264",26,1,100.083333333332
"cell265",1104,12,320.08333333333
"cell266",1137,12,650.000000000016
"cell267",433,5,330.083333333328
"cell268",123,2,110.083333333331
"cell269",1140,12,680.00000000003
"cell270",338,4,340.083333333326
"cell271",942,10,620.000000000003
"cell272",511,6,150.083333333333
"cell273",1383,15,230.000000000009
"cell274",1593,17,410.08333333331
"cell275",1196,13,280.000000000006
"cell276",706,8,180.000000000003
"cell277",47,1,310.083333333333
"cell278",1897,20,570.083333333313
"cell279",1007,11,310.083333333333
"cell280",1769,19,250.000000000011
"cell281",2271,24,470.083333333296
"cell282",1683,18,350.083333333324
"cell283",133,2,210.000000000006
"cell284",45,1,290.000000000004
"cell285",1007,11,310.083333333333
"cell286",1296,14,320.08333333333
"cell287",1603,17,510.083333333287
"cell288",1575,17,230.000000000009
"cell289",1670,18,220.000000000008
"cell290",2256,24,320.08333333333
"cell291",717,8,290.000000000004
"cell292",126,2,140.083333333332
"cell293",567,6,710.000000000043
"cell294",1679,18,310.083333333333
"cell295",2057,22,250.000000000011
"cell296",518,6,220.000000000008
"cell297",1868,20,280.000000000006
"cell298",1776,19,320.08333333333
"cell299",1486,16,300.000000000002
"cell300",211,3,30.0833333333332
"cell301",1083,12,110.083333333331
"cell302",1776,19,320.08333333333
"cell303",45,1,290.000000000004
"cell304",57,1,410.08333333331
"cell305",1560,17,80.0833333333331
"cell306",217,3,90.0833333333326
"cell307",1096,12,240.00000000001
"cell308",2066,22,340.083333333326
"cell309",2240,24,160.000000000001
"cell310",129,2,170.000000000002
"cell311",1586,17,340.083333333326
"cell312",143,2,310.083333333333
"cell313",1776,19,320.08333333333
"cell314",247,3,390.083333333314
"cell315",918,10,380.083333333317
"cell316",1270,14,60.0000000000006
"cell317",1170,13,20.0833333333333
"cell318",1174,13,60.0000000000006
"cell319",2206,23,780.000000000075
"cell320",283,3,750.000000000062
"cell321",1969,21,330.083333333328
"cell322",127,2,150.083333333333
"cell323",1396,15,360.083333333321
"cell324",2232,24,80.0833333333331
"cell325",803,9,190.000000000004
"cell326",332,4,280.000000000006
"cell327",1168,13,0
"cell328",1091,12,190.000000000004
"cell329",44,1,280.000000000006
"cell330",928,10,480.083333333294
"cell331",991,11,150.083333333333
"cell332",186,2,740.000000000057
"cell333",708,8,200.000000000005
"cell334",796,9,120.083333333331
"cell335",898,10,180.000000000003
"cell336",2232,24,80.0833333333331
"cell337",448,5,480.083333333294
"cell338",2148,23,200.000000000005
"cell339",1172,13,40
"cell340",460,5,600.083333333327
"cell341",534,6,380.083333333317
"cell342",2279,24,550.083333333304
"cell343",512,6,160.000000000001
"cell344",39,1,230.000000000009
"cell345",915,10,350.083333333324
"cell346",495,6,0
"cell347",1275,14,110.083333333331
"cell348",57,1,410.08333333331
"cell349",1370,15,100.083333333332
"cell350",703,8,150.083333333333
"cell351",208,3,0
"cell352",1491,16,350.083333333324
"cell353",435,5,350.083333333324
"cell354",709,8,210.000000000006
"cell355",621,7,290.000000000004
"cell356",913,10,330.083333333328
"cell357",633,7,410.08333333331
"cell358",1113,12,410.08333333331
"cell359",1576,17,240.00000000001
"cell360",1397,15,370.083333333319
"cell361",737,8,490.083333333292
"cell362",1023,11,470.083333333296
"cell363",1075,12,30.0833333333332
"cell364",920,10,400.083333333312
"cell365",528,6,320.08333333333
"cell366",1678,18,300.000000000002
"cell367",1456,16,0
"cell368",1183,13,150.083333333333
"cell369",209,3,10
"cell370",518,6,220.000000000008
"cell371",791,9,70.0000000000004
"cell372",1681,18,330.083333333328
"cell373",2047,22,150.083333333333
"cell374",1074,12,20.0833333333333
"cell375",816,9,320.08333333333
"cell376",1337,14,730.000000000053
"cell377",883,10,30.0833333333332
"cell378",1312,14,480.083333333294
"cell379",1098,12,260.000000000011
"cell380",1368,15,80.0833333333331
"cell381",1868,20,280.000000000006
"cell382",526,6,300.000000000002
"cell383",1001,11,250.000000000011
"cell384",1360,15,0
"cell385",2167,23,390.083333333314
"cell386",2252,24,280.000000000006
"cell387",431,5,310.083333333333
"cell388",889,10,90.0833333333326
"cell389",1003,11,270.000000000008
"cell390",2051,22,190.000000000004
"cell391",1480,16,240.00000000001
"cell392",983,11,70.0000000000004
"cell393",348,4,440.083333333303
"cell394",1339,14,750.000000000062
"cell395",51,1,350.083333333324
"cell396",135,2,230.000000000009
"cell397",989,11,130.083333333331
"cell398",1074,12,20.0833333333333
"cell399",1488,16,320.08333333333
"cell400",619,7,270.000000000008
"cell401",1418,15,580.083333333318
"cell402",224,3,160.000000000001
"cell403",1916,20,760.000000000066
"cell404",1107,12,350.083333333324
"cell405",1225,13,570.083333333313
"cell406",1308,14,440.083333333303
"cell407",1889,20,490.083333333292
"cell408",1534,16,780.000000000075
"cell409",314,4,100.083333333332
"cell410",121,2,90.0833333333326
"cell411",888,10,80.0833333333331
"cell412",1774,19,300.000000000002
"cell413",1903,20,630.000000000007
"cell414",2171,23,430.083333333305
"cell415",2064,22,320.08333333333
"cell416",1667,18,190.000000000004
"cell417",1663,18,150.083333333333
"cell418",1976,21,400.083333333312
"cell419",1073,12,10
"cell420",235,3,270.000000000008
"cell421",1216,13,480.083333333294
"cell422",1981,21,450.083333333301
"cell423",788,9,40
"cell424",1851,20,110.083333333331
"cell425",495,6,0
"cell426",1418,15,580.083333333318
"cell427",1396,15,360.083333333321
"cell428",1946,21,100.083333333332
"cell429",2152,23,240.00000000001
"cell430",1008,11,320.08333333333
"cell431",49,1,330.083333333328
"cell432",240,3,320.08333333333
"cell433",1952,21,160.000000000001
"cell434",920,10,400.083333333312
"cell435",1475,16,190.000000000004
"cell436",1958,21,220.000000000008
"cell437",2160,23,320.08333333333
"cell438",528,6,320.08333333333
"cell439",402,5,20.0833333333333
"cell440",619,7,270.000000000008
"cell441",1561,17,90.0833333333326
"cell442",1752,19,80.0833333333331
"cell443",1867,20,270.000000000008
"cell444",515,6,190.000000000004
"cell445",506,6,100.083333333332
"cell446",1056,11,802.8
"cell447",737,8,490.083333333292
"cell448",1284,14,200.000000000005
"cell449",992,11,160.000000000001
"cell450",619,7,270.000000000008
"cell451",2242,24,180.000000000003
"cell452",1660,18,120.083333333331
"cell453",2160,23,320.08333333333
"cell454",1087,12,150.083333333333
"cell455",2163,23,350.083333333324
"cell456",1675,18,270.000000000008
"cell457",423,5,230.000000000009
"cell458",613,7,210.000000000006
"cell459",1562,17,100.083333333332
"cell460",2255,24,310.083333333333
"cell461",1175,13,70.0000000000004
"cell462",1790,19,460.083333333299
"cell463",427,5,270.000000000008
"cell464",761,8,730.000000000053
"cell465",34,1,180.000000000003
"cell466",1483,16,270.000000000008
"cell467",433,5,330.083333333328
"cell468",507,6,110.083333333331
"cell469",851,9,670.000000000025
"cell470",623,7,310.083333333333
"cell471",344,4,400.083333333312
"cell472",648,7,560.083333333309
"cell473",1195,13,270.000000000008
"cell474",45,1,290.000000000004
"cell475",1298,14,340.083333333326
"cell476",117,2,50.0000000000003
"cell477",2050,22,180.000000000003
"cell478",528,6,320.08333333333
"cell479",799,9,150.083333333333
"cell480",997,11,210.000000000006
"cell481",435,5,350.083333333324
"cell482",1147,12,750.000000000062
"cell483",537,6,410.08333333331
"cell484",532,6,360.083333333321
"cell485",307,4,30.0833333333332
"cell486",1657,18,90.0833333333326
"cell487",532,6,360.083333333321
"cell488",1790,19,460.083333333299
"cell489",1460,16,40
"cell490",1855,20,150.083333333333
"cell491",2032,22,0
"cell492",1787,19,430.083333333305
"cell493",1474,16,180.000000000003
"cell494",1574,17,220.000000000008
"cell495",1299,14,350.083333333324
