"cell_id","step_ix","simulation_i","sim_time"
"cell1",440,6,120.083333333331
"cell2",1885,24,0
"cell3",1898,24,120.083333333331
"cell4",1657,21,140.083333333332
"cell5",367,5,200.000000000005
"cell6",390,5,430.083333333305
"cell7",673,9,20.0833333333333
"cell8",431,6,30.0833333333332
"cell9",1274,16,360.083333333321
"cell10",1762,22,380.083333333317
"cell11",592,8,20.0833333333333
"cell12",1902,24,160.000000000001
"cell13",1744,22,200.000000000005
"cell14",1741,22,170.000000000002
"cell15",1766,22,420.083333333308
"cell16",265,4,0
"cell17",1001,13,60.0000000000006
"cell18",513,7,40
"cell19",271,4,50.0000000000003
"cell20",924,12,100.083333333332
"cell21",1735,22,110.083333333331
"cell22",1808,23,30.0833333333332
"cell23",1171,15,140.083333333332
"cell24",1897,24,110.083333333331
"cell25",919,12,50.0000000000003
"cell26",1759,22,350.083333333324
"cell27",1805,23,0
"cell28",299,4,330.083333333328
"cell29",431,6,30.0833333333332
"cell30",1242,16,40
"cell31",875,11,420.083333333308
"cell32",1407,18,70.0000000000004
"cell33",1748,22,240.00000000001
"cell34",1761,22,370.083333333319
"cell35",961,12,470.083333333296
"cell36",462,6,340.083333333326
"cell37",1290,16,520.08333333329
"cell38",437,6,90.0833333333326
"cell39",1339,17,200.000000000005
"cell40",383,5,360.083333333321
"cell41",1489,19,80.0833333333331
"cell42",1651,21,80.0833333333331
"cell43",271,4,50.0000000000003
"cell44",272,4,60.0000000000006
"cell45",1679,21,360.083333333321
"cell46",1241,16,30.0833333333332
"cell47",514,7,50.0000000000003
"cell48",607,8,170.000000000002
"cell49",1417,18,170.000000000002
"cell50",436,6,80.0833333333331
"cell51",1907,24,210.000000000006
"cell52",929,12,150.083333333333
"cell53",1030,13,350.083333333324
"cell54",1271,16,330.083333333328
"cell55",380,5,330.083333333328
"cell56",191,3,60.0000000000006
"cell57",206,3,210.000000000006
"cell58",107,2,30.0833333333332
"cell59",514,7,50.0000000000003
"cell60",1564,20,20.0833333333333
"cell61",1891,24,50.0000000000003
"cell62",482,6,540.083333333299
"cell63",36,1,130.083333333331
"cell64",922,12,80.0833333333331
"cell65",529,7,200.000000000005
"cell66",1318,17,0
"cell67",1400,18,0
"cell68",1272,16,340.083333333326
"cell69",1897,24,110.083333333331
"cell70",1406,18,60.0000000000006
"cell71",1169,15,120.083333333331
"cell72",25,1,20.0833333333333
"cell73",206,3,210.000000000006
"cell74",1323,17,40
"cell75",299,4,330.083333333328
"cell76",928,12,140.083333333332
"cell77",1405,18,50.0000000000003
"cell78",674,9,30.0833333333332
"cell79",1651,21,80.0833333333331
"cell80",672,9,10
"cell81",836,11,30.0833333333332
"cell82",428,6,0
"cell83",286,4,200.000000000005
"cell84",954,12,400.083333333312
"cell85",1815,23,100.083333333332
"cell86",144,2,400.083333333312
"cell87",1079,14,30.0833333333332
"cell88",192,3,70.0000000000004
"cell89",1422,18,220.000000000008
"cell90",1570,20,80.0833333333331
"cell91",1085,14,90.0833333333326
"cell92",434,6,60.0000000000006
"cell93",606,8,160.000000000001
"cell94",1004,13,90.0833333333326
"cell95",957,12,430.083333333305
"cell96",110,2,60.0000000000006
"cell97",759,10,70.0000000000004
"cell98",1650,21,70.0000000000004
"cell99",1809,23,40
"cell100",1653,21,100.083333333332
"cell101",432,6,40
"cell102",1244,16,60.0000000000006
"cell103",1563,20,10
"cell104",763,10,110.083333333331
"cell105",1094,14,180.000000000003
"cell106",1279,16,410.08333333331
"cell107",109,2,50.0000000000003
"cell108",925,12,110.083333333331
"cell109",1169,15,120.083333333331
"cell110",994,13,0
"cell111",1729,22,50.0000000000003
"cell112",915,12,10
"cell113",931,12,170.000000000002
"cell114",1914,24,280.000000000006
"cell115",1815,23,100.083333333332
"cell116",1569,20,70.0000000000004
"cell117",914,12,0
"cell118",516,7,70.0000000000004
"cell119",1088,14,120.083333333331
"cell120",595,8,50.0000000000003
"cell121",958,12,440.083333333303
"cell122",1178,15,210.000000000006
"cell123",1213,15,560.083333333309
"cell124",1006,13,110.083333333331
"cell125",287,4,210.000000000006
"cell126",1257,16,190.000000000004
"cell127",1815,23,100.083333333332
"cell128",1269,16,310.083333333333
"cell129",196,3,110.083333333331
"cell130",1808,23,30.0833333333332
"cell131",673,9,20.0833333333333
"cell132",115,2,110.083333333331
"cell133",1255,16,170.000000000002
"cell134",113,2,90.0833333333326
"cell135",1410,18,100.083333333332
"cell136",1730,22,60.0000000000006
"cell137",78,1,550.083333333304
"cell138",997,13,20.0833333333333
"cell139",448,6,200.000000000005
"cell140",462,6,340.083333333326
"cell141",1321,17,20.0833333333333
"cell142",1449,18,490.083333333292
"cell143",1087,14,110.083333333331
"cell144",958,12,440.083333333303
"cell145",1763,22,390.083333333314
"cell146",1743,22,190.000000000004
"cell147",360,5,130.083333333331
"cell148",1565,20,30.0833333333332
"cell149",1082,14,60.0000000000006
"cell150",1254,16,160.000000000001
"cell151",353,5,60.0000000000006
"cell152",187,3,20.0833333333333
"cell153",1404,18,40
"cell154",453,6,250.000000000011
"cell155",1646,21,30.0833333333332
"cell156",362,5,150.083333333333
"cell157",187,3,20.0833333333333
"cell158",1748,22,240.00000000001
"cell159",1158,15,10
"cell160",1646,21,30.0833333333332
"cell161",1327,17,80.0833333333331
"cell162",592,8,20.0833333333333
"cell163",1277,16,390.083333333314
"cell164",436,6,80.0833333333331
"cell165",1902,24,160.000000000001
"cell166",647,8,570.083333333313
"cell167",1409,18,90.0833333333326
"cell168",1411,18,110.083333333331
