"cell_id","step_ix","simulation_i","sim_time"
"cell1",1632,9,1380.0833333332
"cell2",253,2,330.083333333328
"cell3",1935,11,770.000000000071
"cell4",1420,8,1080.00000000014
"cell5",3557,20,610.083333333331
"cell6",766,5,0
"cell7",2420,14,160.000000000001
"cell8",3573,20,770.000000000071
"cell9",1921,11,630.000000000007
"cell10",3638,20,1420.08333333316
"cell11",1517,9,230.000000000009
"cell12",2350,13,1280.08333333329
"cell13",631,4,470.083333333296
"cell14",966,6,180.000000000003
"cell15",983,6,350.083333333324
"cell16",43,1,50.0000000000003
"cell17",275,2,550.083333333304
"cell18",501,3,990.000000000171
"cell19",2344,13,1220.00000000001
"cell20",2472,14,680.00000000003
"cell21",3148,18,160.000000000001
"cell22",984,6,360.083333333321
"cell23",4042,23,0
"cell24",3434,19,1200.00000000003
"cell25",4132,23,900.00000000013
"cell26",2242,13,200.000000000005
"cell27",1493,9,0
"cell28",498,3,960.000000000157
"cell29",832,5,660.000000000021
"cell30",3903,22,430.083333333305
"cell31",2865,16,970.000000000162
"cell32",722,4,1380.0833333332
"cell33",2663,15,770.000000000071
"cell34",2816,16,480.083333333294
"cell35",1000,6,520.08333333329
"cell36",2625,15,390.083333333314
"cell37",1413,8,1010.00000000018
"cell38",3496,20,0
"cell39",2136,12,960.000000000157
"cell40",1339,8,270.000000000008
"cell41",3434,19,1200.00000000003
"cell42",39,1,10
"cell43",105,1,670.000000000025
"cell44",2596,15,100.083333333332
"cell45",1610,9,1160.00000000006
"cell46",131,1,930.000000000143
"cell47",3054,17,1040.00000000017
"cell48",766,5,0
"cell49",2089,12,490.083333333292
"cell50",3133,18,10
"cell51",2100,12,600.083333333327
"cell52",2768,16,0
"cell53",501,3,990.000000000171
"cell54",583,4,0
"cell55",3882,22,220.000000000008
"cell56",1173,7,430.083333333305
"cell57",64,1,260.000000000011
"cell58",269,2,490.083333333292
"cell59",2868,16,1000.00000000018
"cell60",1744,10,680.00000000003
"cell61",305,2,850.000000000107
"cell62",1364,8,520.08333333329
"cell63",3260,18,1280.08333333329
"cell64",2882,16,1140.00000000008
"cell65",3557,20,610.083333333331
"cell66",2704,15,1180.00000000004
"cell67",3953,22,930.000000000143
"cell68",1151,7,210.000000000006
"cell69",1526,9,320.08333333333
"cell70",834,5,680.00000000003
"cell71",2246,13,240.00000000001
"cell72",2315,13,930.000000000143
"cell73",4000,22,1400.08333333318
"cell74",971,6,230.000000000009
"cell75",3529,20,330.083333333328
"cell76",1859,11,10
"cell77",4327,24,1030.00000000018
"cell78",3507,20,110.083333333331
"cell79",1820,10,1440
"cell80",2321,13,990.000000000171
"cell81",1905,11,470.083333333296
"cell82",4068,23,260.000000000011
"cell83",1550,9,560.083333333309
"cell84",3742,21,640.000000000012
"cell85",1082,6,1340.08333333323
"cell86",1991,11,1330.08333333324
"cell87",3716,21,380.083333333317
"cell88",2533,14,1290.08333333328
"cell89",4076,23,340.083333333326
"cell90",2166,12,1260.0833333333
"cell91",3632,20,1360.08333333321
"cell92",1715,10,390.083333333314
"cell93",711,4,1270.0833333333
"cell94",3240,18,1080.00000000014
"cell95",766,5,0
"cell96",3216,18,840.000000000103
"cell97",2446,14,420.083333333308
"cell98",658,4,740.000000000057
"cell99",1571,9,770.000000000071
"cell100",988,6,400.083333333312
"cell101",2269,13,470.083333333296
"cell102",150,1,1120.0000000001
"cell103",3229,18,970.000000000162
"cell104",2319,13,970.000000000162
"cell105",1494,9,0
"cell106",541,3,1390.08333333319
"cell107",3046,17,960.000000000157
"cell108",1088,6,1400.08333333318
"cell109",2175,12,1350.08333333322
"cell110",3701,21,230.000000000009
"cell111",2226,13,40
"cell112",3559,20,630.000000000007
"cell113",2067,12,270.000000000008
"cell114",132,1,940.000000000148
"cell115",710,4,1260.0833333333
"cell116",3584,20,880.000000000121
"cell117",1312,8,0
"cell118",357,2,1370.0833333332
"cell119",3873,22,130.083333333331
"cell120",841,5,750.000000000062
"cell121",1863,11,50.0000000000003
"cell122",2701,15,1150.00000000007
"cell123",2271,13,490.083333333292
"cell124",2351,13,1290.08333333328
"cell125",55,1,170.000000000002
"cell126",251,2,310.083333333333
"cell127",1501,9,70.0000000000004
"cell128",3234,18,1020.00000000018
"cell129",529,3,1270.0833333333
"cell130",2362,13,1400.08333333318
"cell131",3416,19,1020.00000000018
"cell132",498,3,960.000000000157
"cell133",2949,17,0
"cell134",459,3,570.083333333313
"cell135",1238,7,1080.00000000014
"cell136",2156,12,1160.00000000006
"cell137",1314,8,20.0833333333333
"cell138",3006,17,560.083333333309
"cell139",4304,24,800.000000000084
"cell140",219,2,0
"cell141",3394,19,800.000000000084
"cell142",1494,9,0
"cell143",3496,20,0
"cell144",3428,19,1140.00000000008
"cell145",3715,21,370.083333333319
"cell146",1216,7,860.000000000112
"cell147",2545,14,1410.08333333317
"cell148",4057,23,150.083333333333
"cell149",491,3,890.000000000125
"cell150",633,4,490.083333333292
"cell151",233,2,130.083333333331
"cell152",3166,18,340.083333333326
"cell153",2950,17,0
"cell154",655,4,710.000000000043
"cell155",4113,23,710.000000000043
"cell156",1952,11,940.000000000148
"cell157",4224,24,0
"cell158",2809,16,410.08333333331
"cell159",1694,10,180.000000000003
"cell160",4341,24,1170.00000000005
"cell161",1010,6,620.000000000003
"cell162",220,2,0
"cell163",1861,11,30.0833333333332
"cell164",3166,18,340.083333333326
"cell165",257,2,370.083333333319
"cell166",3364,19,500.083333333289
"cell167",698,4,1140.00000000008
"cell168",720,4,1360.08333333321
"cell169",766,5,0
"cell170",1971,11,1130.00000000009
"cell171",3898,22,380.083333333317
"cell172",422,3,200.000000000005
"cell173",2437,14,330.083333333328
"cell174",3439,19,1250.08333333331
"cell175",4183,23,1410.08333333317
"cell176",1612,9,1180.00000000004
"cell177",2513,14,1090.00000000013
"cell178",3078,17,1280.08333333329
"cell179",3226,18,940.000000000148
"cell180",322,2,1020.00000000018
"cell181",262,2,420.083333333308
"cell182",3814,21,1360.08333333321
"cell183",1637,9,1430.08333333315
"cell184",2704,15,1180.00000000004
"cell185",4174,23,1320.08333333325
"cell186",1426,8,1140.00000000008
"cell187",1337,8,250.000000000011
"cell188",3251,18,1190.00000000004
"cell189",2317,13,950.000000000153
"cell190",1675,10,0
"cell191",1069,6,1210.00000000002
"cell192",423,3,210.000000000006
"cell193",1424,8,1120.0000000001
"cell194",3171,18,390.083333333314
"cell195",261,2,410.08333333331
"cell196",499,3,970.000000000162
"cell197",2440,14,360.083333333321
"cell198",2336,13,1140.00000000008
"cell199",2103,12,630.000000000007
"cell200",1871,11,130.083333333331
"cell201",422,3,200.000000000005
"cell202",694,4,1100.00000000012
"cell203",1970,11,1120.0000000001
"cell204",3738,21,600.083333333327
"cell205",2131,12,910.000000000134
"cell206",37,1,0
"cell207",4342,24,1180.00000000004
"cell208",1001,6,530.083333333295
"cell209",37,1,0
"cell210",1858,11,0
"cell211",3942,22,820.000000000093
"cell212",2404,14,0
"cell213",3927,22,670.000000000025
"cell214",2973,17,230.000000000009
"cell215",2101,12,610.083333333331
"cell216",1772,10,960.000000000157
"cell217",3212,18,800.000000000084
"cell218",3925,22,650.000000000016
"cell219",809,5,430.083333333305
"cell220",2441,14,370.083333333319
"cell221",2438,14,340.083333333326
"cell222",4225,24,10
"cell223",91,1,530.083333333295
"cell224",642,4,580.083333333318
"cell225",2069,12,290.000000000004
"cell226",2775,16,70.0000000000004
"cell227",766,5,0
"cell228",299,2,790.00000000008
"cell229",3813,21,1350.08333333322
"cell230",3383,19,690.000000000034
"cell231",3159,18,270.000000000008
"cell232",1430,8,1180.00000000004
"cell233",3726,21,480.083333333294
"cell234",1269,7,1390.08333333319
"cell235",4238,24,140.083333333332
"cell236",2074,12,340.083333333326
"cell237",1495,9,10
"cell238",45,1,70.0000000000004
"cell239",2480,14,760.000000000066
"cell240",1190,7,600.083333333327
"cell241",1238,7,1080.00000000014
"cell242",1800,10,1240.08333333332
"cell243",1438,8,1260.0833333333
"cell244",3252,18,1200.00000000003
"cell245",3760,21,820.000000000093
"cell246",2712,15,1260.0833333333
"cell247",3359,19,450.083333333301
"cell248",4157,23,1150.00000000007
"cell249",2449,14,450.083333333301
"cell250",779,5,130.083333333331
"cell251",803,5,370.083333333319
