"from","to","effect"
"Burn1_TF1","Burn2_TF1",1
"Burn2_TF1","Burn3_TF1",1
"Burn3_TF1","Burn4_TF1",1
"Burn4_TF1","A1_TF1",1
"C6_TF1","A1_TF1",-1
"A1_TF1","A2_TF1",-1
"A2_TF1","A3_TF1",-1
"A3_TF1","A4_TF1",-1
"A4_TF1","A5_TF1",-1
"A5_TF1","B1_TF1",1
"B1_TF1","B2_TF1",-1
"B2_TF1","B3_TF1",-1
"B3_TF1","B4_TF1",-1
"B4_TF1","B5_TF1",-1
"B5_TF1","C1_TF1",1
"C1_TF1","C2_TF1",1
"C2_TF1","C3_TF1",1
"C3_TF1","C4_TF1",1
"C4_TF1","C5_TF1",1
"C5_TF1","C6_TF1",1
"B3_TF1","Target1",1
"B3_TF1","Target2",1
"B3_TF1","Target3",1
"B3_TF1","Target4",1
"B3_TF1","Target5",1
"B3_TF1","Target6",-1
"B3_TF1","Target7",1
"B3_TF1","Target8",-1
"B3_TF1","Target9",1
"B3_TF1","Target10",-1
"B3_TF1","Target11",1
"B3_TF1","Target12",-1
"B3_TF1","Target13",1
"B4_TF1","Target14",1
"B4_TF1","Target15",1
"B4_TF1","Target16",-1
"B4_TF1","Target17",-1
"B2_TF1","Target18",1
"B2_TF1","Target4",1
"B2_TF1","Target19",1
"B2_TF1","Target20",1
"Burn3_TF1","Target21",1
"Burn3_TF1","Target22",-1
"Burn3_TF1","Target23",-1
"Burn3_TF1","Target24",1
"Burn3_TF1","Target25",-1
"A4_TF1","Target26",1
"A4_TF1","Target27",-1
"A4_TF1","Target28",1
"C2_TF1","Target29",1
"Burn2_TF1","Target2",1
"Burn2_TF1","Target30",1
"Burn2_TF1","Target31",-1
"Burn2_TF1","Target32",1
"Burn2_TF1","Target33",1
"C3_TF1","Target34",1
"C3_TF1","Target23",1
"C3_TF1","Target35",1
"C3_TF1","Target36",-1
"C3_TF1","Target37",1
"C3_TF1","Target38",1
"C3_TF1","Target39",-1
"C3_TF1","Target40",1
"C3_TF1","Target41",1
"C3_TF1","Target42",1
"C3_TF1","Target11",-1
"A2_TF1","Target43",1
"A2_TF1","Target44",1
"A5_TF1","Target45",1
"A5_TF1","Target22",1
"A5_TF1","Target46",1
"A5_TF1","Target47",1
"A5_TF1","Target48",1
"B1_TF1","Target49",1
"B1_TF1","Target50",1
"C5_TF1","Target51",1
"C5_TF1","Target52",-1
"C5_TF1","Target53",1
"C6_TF1","Target54",1
"C6_TF1","Target55",-1
"C6_TF1","Target56",1
"C6_TF1","Target57",1
"C6_TF1","Target58",1
"C6_TF1","Target59",1
"C6_TF1","Target60",1
"Burn4_TF1","Target61",1
"Burn4_TF1","Target62",1
"Burn4_TF1","Target63",1
"A1_TF1","Target64",1
"A1_TF1","Target65",1
"A1_TF1","Target66",1
"A1_TF1","Target43",-1
"A1_TF1","Target67",1
"A3_TF1","Target68",1
"A3_TF1","Target69",1
"A3_TF1","Target70",1
"HK2","HK3",1
"HK2","HK4",1
"HK2","HK5",1
"HK2","HK6",1
"HK2","HK7",1
"HK2","HK8",1
"HK2","HK9",1
"HK2","HK10",-1
"HK2","HK11",-1
"HK2","HK12",1
"HK2","HK13",1
"HK2","HK14",-1
"HK2","HK15",1
"HK2","HK16",1
"HK2","HK17",-1
"HK2","HK18",1
"HK2","HK19",1
"HK2","HK20",1
"HK2","HK1",1
