"cell_id","step_ix","simulation_i","sim_time"
"cell1",1581,19,0
"cell2",1379,16,580.083333333318
"cell3",303,4,260.000000000011
"cell4",1171,14,240.00000000001
"cell5",81,1,650.000000000016
"cell6",1947,23,170.000000000002
"cell7",820,10,210.000000000006
"cell8",550,7,120.083333333331
"cell9",382,5,180.000000000003
"cell10",1065,13,50.0000000000003
"cell11",298,4,210.000000000006
"cell12",1080,13,200.000000000005
"cell13",124,2,210.000000000006
"cell14",550,7,120.083333333331
"cell15",651,8,260.000000000011
"cell16",1281,15,470.083333333296
"cell17",134,2,310.083333333333
"cell18",1763,21,70.0000000000004
"cell19",1378,16,570.083333333313
"cell20",1596,19,140.083333333332
"cell21",129,2,260.000000000011
"cell22",41,1,250.000000000011
"cell23",1777,21,210.000000000006
"cell24",998,12,250.000000000011
"cell25",319,4,420.083333333308
"cell26",1685,20,160.000000000001
"cell27",900,11,140.083333333332
"cell28",1582,19,0
"cell29",121,2,180.000000000003
"cell30",972,12,0
"cell31",115,2,120.083333333331
"cell32",555,7,170.000000000002
"cell33",1252,15,180.000000000003
"cell34",382,5,180.000000000003
"cell35",17,1,10
"cell36",985,12,120.083333333331
"cell37",644,8,190.000000000004
"cell38",804,10,50.0000000000003
"cell39",1872,22,290.000000000004
"cell40",1498,18,30.0833333333332
"cell41",1957,23,270.000000000008
"cell42",128,2,250.000000000011
"cell43",647,8,220.000000000008
"cell44",1674,20,50.0000000000003
"cell45",1594,19,120.083333333331
"cell46",834,10,350.083333333324
"cell47",1521,18,260.000000000011
"cell48",1245,15,110.083333333331
"cell49",1777,21,210.000000000006
"cell50",562,7,240.00000000001
"cell51",977,12,40
"cell52",146,2,430.083333333305
"cell53",1860,22,170.000000000002
"cell54",375,5,110.083333333331
"cell55",122,2,190.000000000004
"cell56",1877,22,340.083333333326
"cell57",1435,17,270.000000000008
"cell58",40,1,240.00000000001
"cell59",1059,13,0
"cell60",205,3,150.083333333333
"cell61",815,10,160.000000000001
"cell62",1261,15,270.000000000008
"cell63",632,8,70.0000000000004
"cell64",1156,14,90.0833333333326
"cell65",1160,14,130.083333333331
"cell66",1952,23,220.000000000008
"cell67",2016,24,0
"cell68",316,4,390.083333333314
"cell69",648,8,230.000000000009
"cell70",218,3,280.000000000006
"cell71",21,1,50.0000000000003
"cell72",462,6,110.083333333331
"cell73",398,5,340.083333333326
"cell74",1412,17,40
"cell75",995,12,220.000000000008
"cell76",988,12,150.083333333333
"cell77",997,12,240.00000000001
"cell78",1520,18,250.000000000011
"cell79",1343,16,220.000000000008
"cell80",1516,18,210.000000000006
"cell81",1250,15,160.000000000001
"cell82",1325,16,40
"cell83",1433,17,250.000000000011
"cell84",1439,17,310.083333333333
"cell85",201,3,110.083333333331
"cell86",1190,14,430.083333333305
"cell87",565,7,270.000000000008
"cell88",887,11,10
"cell89",1154,14,70.0000000000004
"cell90",1170,14,230.000000000009
"cell91",1234,15,0
"cell92",555,7,170.000000000002
"cell93",1942,23,120.083333333331
"cell94",907,11,210.000000000006
"cell95",292,4,150.083333333333
"cell96",1160,14,130.083333333331
"cell97",1605,19,230.000000000009
"cell98",540,7,20.0833333333333
"cell99",1168,14,210.000000000006
"cell100",451,6,0
"cell101",1250,15,160.000000000001
"cell102",228,3,380.083333333317
"cell103",816,10,170.000000000002
"cell104",1437,17,290.000000000004
"cell105",1353,16,320.08333333333
"cell106",217,3,270.000000000008
"cell107",1595,19,130.083333333331
"cell108",1451,17,430.083333333305
"cell109",552,7,140.083333333332
"cell110",735,9,230.000000000009
"cell111",522,6,718.8
"cell112",197,3,70.0000000000004
"cell113",898,11,120.083333333331
"cell114",1216,14,690.000000000034
"cell115",1204,14,570.083333333313
"cell116",299,4,220.000000000008
"cell117",1931,23,10
"cell118",1151,14,40
"cell119",1867,22,240.00000000001
"cell120",385,5,210.000000000006
"cell121",1602,19,200.000000000005
"cell122",731,9,190.000000000004
"cell123",636,8,110.083333333331
"cell124",1947,23,170.000000000002
"cell125",303,4,260.000000000011
"cell126",1108,13,480.083333333294
"cell127",549,7,110.083333333331
"cell128",540,7,20.0833333333333
"cell129",1246,15,120.083333333331
"cell130",648,8,230.000000000009
"cell131",984,12,110.083333333331
"cell132",24,1,80.0833333333331
"cell133",650,8,250.000000000011
"cell134",198,3,80.0833333333331
"cell135",1152,14,50.0000000000003
"cell136",1326,16,50.0000000000003
"cell137",1820,21,640.000000000012
"cell138",1153,14,60.0000000000006
"cell139",1856,22,130.083333333331
"cell140",1931,23,10
"cell141",1349,16,280.000000000006
"cell142",2017,24,0
"cell143",1614,19,320.08333333333
"cell144",1612,19,300.000000000002
"cell145",2018,24,10
"cell146",1506,18,110.083333333331
"cell147",2024,24,70.0000000000004
"cell148",371,5,70.0000000000004
"cell149",1276,15,420.083333333308
"cell150",2052,24,350.083333333324
"cell151",1332,16,110.083333333331
"cell152",1851,22,80.0833333333331
"cell153",1622,19,400.083333333312
"cell154",1262,15,280.000000000006
"cell155",1862,22,190.000000000004
"cell156",1322,16,10
"cell157",290,4,130.083333333331
"cell158",1771,21,150.083333333333
"cell159",1605,19,230.000000000009
"cell160",467,6,160.000000000001
"cell161",1953,23,230.000000000009
"cell162",1933,23,30.0833333333332
"cell163",1125,13,650.000000000016
"cell164",128,2,250.000000000011
"cell165",219,3,290.000000000004
"cell166",302,4,250.000000000011
"cell167",202,3,120.083333333331
"cell168",729,9,170.000000000002
"cell169",550,7,120.083333333331
"cell170",476,6,250.000000000011
"cell171",123,2,200.000000000005
"cell172",1636,19,540.083333333299
"cell173",1354,16,330.083333333328
"cell174",1822,21,660.000000000021
"cell175",522,6,718.8
"cell176",629,8,40
"cell177",1947,23,170.000000000002
"cell178",317,4,400.083333333312
"cell179",818,10,190.000000000004
"cell180",120,2,170.000000000002
"cell181",2018,24,10
"cell182",1407,17,0
"cell183",211,3,210.000000000006
"cell184",1675,20,60.0000000000006
"cell185",27,1,110.083333333331
"cell186",229,3,390.083333333314
"cell187",387,5,230.000000000009
"cell188",1326,16,50.0000000000003
"cell189",1940,23,100.083333333332
"cell190",976,12,30.0833333333332
"cell191",664,8,390.083333333314
"cell192",218,3,280.000000000006
"cell193",1931,23,10
"cell194",1323,16,20.0833333333333
"cell195",222,3,320.08333333333
"cell196",1946,23,160.000000000001
"cell197",542,7,40
"cell198",1855,22,120.083333333331
"cell199",1098,13,380.083333333317
"cell200",220,3,300.000000000002
"cell201",1411,17,30.0833333333332
"cell202",31,1,150.083333333333
"cell203",538,7,0
"cell204",302,4,250.000000000011
"cell205",1854,22,110.083333333331
"cell206",471,6,200.000000000005
"cell207",1293,15,590.083333333322
"cell208",553,7,150.083333333333
"cell209",1079,13,190.000000000004
"cell210",1333,16,120.083333333331
"cell211",984,12,110.083333333331
"cell212",557,7,190.000000000004
"cell213",712,9,0
"cell214",1162,14,150.083333333333
"cell215",1673,20,40
"cell216",1170,14,230.000000000009
"cell217",1842,22,0
"cell218",992,12,190.000000000004
"cell219",732,9,200.000000000005
"cell220",649,8,240.00000000001
"cell221",1233,15,0
"cell222",284,4,70.0000000000004
"cell223",1931,23,10
"cell224",206,3,160.000000000001
"cell225",1345,16,240.00000000001
"cell226",1260,15,260.000000000011
"cell227",1947,23,170.000000000002
"cell228",376,5,120.083333333331
"cell229",73,1,570.083333333313
"cell230",300,4,230.000000000009
"cell231",1857,22,140.083333333332
"cell232",1671,20,20.0833333333333
"cell233",1416,17,80.0833333333331
"cell234",1956,23,260.000000000011
"cell235",2030,24,130.083333333331
"cell236",462,6,110.083333333331
"cell237",743,9,310.083333333333
"cell238",1946,23,160.000000000001
"cell239",1168,14,210.000000000006
"cell240",724,9,120.083333333331
"cell241",1687,20,180.000000000003
"cell242",1331,16,100.083333333332
"cell243",2027,24,100.083333333332
"cell244",1257,15,230.000000000009
"cell245",492,6,410.08333333331
"cell246",1150,14,30.0833333333332
"cell247",33,1,170.000000000002
"cell248",112,2,90.0833333333326
"cell249",1853,22,100.083333333332
"cell250",1494,18,0
"cell251",284,4,70.0000000000004
"cell252",20,1,40
"cell253",1697,20,280.000000000006
"cell254",1589,19,70.0000000000004
"cell255",722,9,100.083333333332
"cell256",636,8,110.083333333331
"cell257",549,7,110.083333333331
"cell258",1260,15,260.000000000011
"cell259",1173,14,260.000000000011
"cell260",1163,14,160.000000000001
"cell261",1600,19,180.000000000003
"cell262",635,8,100.083333333332
"cell263",1765,21,90.0833333333326
"cell264",1696,20,270.000000000008
"cell265",460,6,90.0833333333326
"cell266",1694,20,250.000000000011
"cell267",1637,19,550.083333333304
"cell268",1779,21,230.000000000009
"cell269",887,11,10
"cell270",723,9,110.083333333331
"cell271",1156,14,90.0833333333326
"cell272",811,10,120.083333333331
"cell273",715,9,30.0833333333332
"cell274",540,7,20.0833333333333
"cell275",372,5,80.0833333333331
"cell276",1065,13,50.0000000000003
"cell277",1349,16,280.000000000006
"cell278",994,12,210.000000000006
"cell279",1420,17,120.083333333331
"cell280",2035,24,180.000000000003
"cell281",561,7,230.000000000009
"cell282",1074,13,140.083333333332
"cell283",630,8,50.0000000000003
"cell284",1261,15,270.000000000008
"cell285",1602,19,200.000000000005
"cell286",1694,20,250.000000000011
"cell287",978,12,50.0000000000003
"cell288",2030,24,130.083333333331
"cell289",720,9,80.0833333333331
"cell290",995,12,220.000000000008
"cell291",1600,19,180.000000000003
"cell292",375,5,110.083333333331
"cell293",1080,13,200.000000000005
"cell294",459,6,80.0833333333331
"cell295",547,7,90.0833333333326
"cell296",1616,19,340.083333333326
"cell297",811,10,120.083333333331
"cell298",1251,15,170.000000000002
"cell299",648,8,230.000000000009
"cell300",374,5,100.083333333332
"cell301",465,6,140.083333333332
"cell302",724,9,120.083333333331
"cell303",2025,24,80.0833333333331
"cell304",1514,18,190.000000000004
"cell305",124,2,210.000000000006
"cell306",377,5,130.083333333331
"cell307",1868,22,250.000000000011
"cell308",1775,21,190.000000000004
"cell309",1420,17,120.083333333331
"cell310",1084,13,240.00000000001
"cell311",1423,17,150.083333333333
"cell312",900,11,140.083333333332
"cell313",1904,22,610.083333333331
"cell314",1859,22,160.000000000001
"cell315",1890,22,470.083333333296
"cell316",1162,14,150.083333333333
"cell317",387,5,230.000000000009
"cell318",631,8,60.0000000000006
"cell319",1169,14,220.000000000008
"cell320",1699,20,300.000000000002
"cell321",115,2,120.083333333331
"cell322",1769,21,130.083333333331
"cell323",1506,18,110.083333333331
"cell324",293,4,160.000000000001
"cell325",1775,21,190.000000000004
"cell326",213,3,230.000000000009
"cell327",991,12,180.000000000003
"cell328",1249,15,150.083333333333
"cell329",1509,18,140.083333333332
"cell330",1069,13,90.0833333333326
"cell331",1411,17,30.0833333333332
"cell332",1609,19,270.000000000008
"cell333",286,4,90.0833333333326
"cell334",217,3,270.000000000008
"cell335",1625,19,430.083333333305
"cell336",292,4,150.083333333333
"cell337",1510,18,150.083333333333
"cell338",435,5,718.8
"cell339",1891,22,480.083333333294
"cell340",1079,13,190.000000000004
"cell341",835,10,360.083333333321
"cell342",319,4,420.083333333308
"cell343",222,3,320.08333333333
"cell344",1433,17,250.000000000011
"cell345",1944,23,140.083333333332
"cell346",1180,14,330.083333333328
"cell347",1540,18,450.083333333301
"cell348",206,3,160.000000000001
"cell349",1060,13,0
"cell350",1521,18,260.000000000011
"cell351",1249,15,150.083333333333
"cell352",1951,23,210.000000000006
"cell353",1408,17,0
"cell354",1344,16,230.000000000009
"cell355",221,3,310.083333333333
"cell356",1787,21,310.083333333333
"cell357",281,4,40
"cell358",410,5,460.083333333299
"cell359",1430,17,220.000000000008
"cell360",1681,20,120.083333333331
"cell361",1850,22,70.0000000000004
"cell362",647,8,220.000000000008
"cell363",303,4,260.000000000011
"cell364",736,9,240.00000000001
"cell365",1256,15,220.000000000008
"cell366",200,3,100.083333333332
"cell367",107,2,40
"cell368",460,6,90.0833333333326
"cell369",1322,16,10
"cell370",1608,19,260.000000000011
"cell371",598,7,600.083333333327
"cell372",730,9,180.000000000003
"cell373",1780,21,240.00000000001
"cell374",372,5,80.0833333333331
"cell375",1418,17,100.083333333332
"cell376",1341,16,200.000000000005
"cell377",120,2,170.000000000002
"cell378",122,2,190.000000000004
"cell379",1109,13,490.083333333292
"cell380",1217,14,700.000000000039
"cell381",1959,23,290.000000000004
"cell382",1109,13,490.083333333292
"cell383",1245,15,110.083333333331
"cell384",1594,19,120.083333333331
"cell385",474,6,230.000000000009
"cell386",220,3,300.000000000002
"cell387",112,2,90.0833333333326
"cell388",290,4,130.083333333331
"cell389",777,9,650.000000000016
"cell390",203,3,130.083333333331
"cell391",850,10,510.083333333287
"cell392",1515,18,200.000000000005
"cell393",735,9,230.000000000009
"cell394",1065,13,50.0000000000003
"cell395",377,5,130.083333333331
"cell396",1162,14,150.083333333333
"cell397",146,2,430.083333333305
"cell398",1159,14,120.083333333331
"cell399",469,6,180.000000000003
"cell400",130,2,270.000000000008
"cell401",1519,18,240.00000000001
"cell402",1936,23,60.0000000000006
"cell403",315,4,380.083333333317
"cell404",307,4,300.000000000002
"cell405",628,8,30.0833333333332
"cell406",1068,13,80.0833333333331
"cell407",214,3,240.00000000001
"cell408",293,4,160.000000000001
"cell409",2039,24,220.000000000008
"cell410",1691,20,220.000000000008
"cell411",912,11,260.000000000011
"cell412",315,4,380.083333333317
"cell413",1074,13,140.083333333332
"cell414",1297,15,630.000000000007
"cell415",373,5,90.0833333333326
"cell416",1697,20,280.000000000006
"cell417",1677,20,80.0833333333331
"cell418",301,4,240.00000000001
"cell419",43,1,270.000000000008
"cell420",1326,16,50.0000000000003
"cell421",472,6,210.000000000006
"cell422",194,3,40
"cell423",292,4,150.083333333333
"cell424",946,11,600.083333333327
"cell425",723,9,110.083333333331
"cell426",59,1,430.083333333305
"cell427",979,12,60.0000000000006
"cell428",198,3,80.0833333333331
"cell429",637,8,120.083333333331
"cell430",41,1,250.000000000011
"cell431",201,3,110.083333333331
"cell432",378,5,140.083333333332
"cell433",1772,21,160.000000000001
"cell434",957,11,718.8
"cell435",79,1,630.000000000007
"cell436",635,8,100.083333333332
"cell437",1849,22,60.0000000000006
"cell438",1765,21,90.0833333333326
"cell439",981,12,80.0833333333331
"cell440",104,2,10
"cell441",1505,18,100.083333333332
"cell442",714,9,20.0833333333333
"cell443",17,1,10
"cell444",849,10,500.083333333289
"cell445",2018,24,10
"cell446",1685,20,160.000000000001
"cell447",293,4,160.000000000001
"cell448",1942,23,120.083333333331
"cell449",24,1,80.0833333333331
"cell450",978,12,50.0000000000003
"cell451",386,5,220.000000000008
"cell452",22,1,60.0000000000006
"cell453",210,3,200.000000000005
"cell454",1243,15,90.0833333333326
"cell455",1686,20,170.000000000002
"cell456",1239,15,50.0000000000003
"cell457",1616,19,340.083333333326
"cell458",1613,19,310.083333333333
"cell459",200,3,100.083333333332
"cell460",1596,19,140.083333333332
"cell461",899,11,130.083333333331
"cell462",1679,20,100.083333333332
"cell463",1693,20,240.00000000001
"cell464",213,3,230.000000000009
"cell465",1523,18,280.000000000006
"cell466",1246,15,120.083333333331
"cell467",1345,16,240.00000000001
"cell468",2023,24,60.0000000000006
"cell469",815,10,160.000000000001
"cell470",1589,19,70.0000000000004
"cell471",1689,20,200.000000000005
"cell472",1251,15,170.000000000002
"cell473",118,2,150.083333333333
"cell474",1089,13,290.000000000004
"cell475",1260,15,260.000000000011
"cell476",989,12,160.000000000001
"cell477",1147,14,0
"cell478",1176,14,290.000000000004
"cell479",1068,13,80.0833333333331
"cell480",386,5,220.000000000008
"cell481",814,10,150.083333333333
"cell482",1594,19,120.083333333331
"cell483",102,2,0
"cell484",1093,13,330.083333333328
"cell485",468,6,170.000000000002
"cell486",1508,18,130.083333333331
"cell487",1668,20,0
"cell488",891,11,50.0000000000003
"cell489",800,10,10
"cell490",375,5,110.083333333331
"cell491",1855,22,120.083333333331
"cell492",550,7,120.083333333331
"cell493",736,9,240.00000000001
"cell494",730,9,180.000000000003
"cell495",1862,22,190.000000000004
"cell496",892,11,60.0000000000006
"cell497",2016,24,0
"cell498",1581,19,0
"cell499",277,4,0
"cell500",638,8,130.083333333331
