"cell_id","step_ix","simulation_i","sim_time"
"cell1",1511,13,360.083333333321
"cell2",1520,13,450.083333333301
"cell3",652,6,240.00000000001
"cell4",2690,23,50.0000000000003
"cell5",2472,21,290.000000000004
"cell6",2720,23,350.083333333324
"cell7",1024,9,330.083333333328
"cell8",543,5,360.083333333321
"cell9",1505,13,300.000000000002
"cell10",967,8,970.000000000162
"cell11",47,1,240.00000000001
"cell12",2263,19,620.000000000003
"cell13",1722,15,50.0000000000003
"cell14",2711,23,260.000000000011
"cell15",847,7,982.8
"cell16",1021,9,300.000000000002
"cell17",1613,14,170.000000000002
"cell18",1023,9,320.08333333333
"cell19",1060,9,690.000000000034
"cell20",2200,19,0
"cell21",2258,19,570.083333333313
"cell22",1267,11,340.083333333326
"cell23",161,2,170.000000000002
"cell24",1057,9,660.000000000021
"cell25",515,5,80.0833333333331
"cell26",1024,9,330.083333333328
"cell27",197,2,530.083333333295
"cell28",479,4,930.000000000143
"cell29",885,8,150.083333333333
"cell30",1031,9,400.083333333312
"cell31",1036,9,450.083333333301
"cell32",2455,21,120.083333333331
"cell33",1025,9,340.083333333326
"cell34",1877,16,390.083333333314
"cell35",877,8,70.0000000000004
"cell36",1516,13,410.08333333331
"cell37",297,3,320.08333333333
"cell38",2870,24,640.000000000012
"cell39",1022,9,310.083333333333
"cell40",2740,23,550.083333333304
"cell41",587,5,800.000000000084
"cell42",283,3,180.000000000003
"cell43",650,6,220.000000000008
"cell44",1506,13,310.083333333333
"cell45",217,2,730.000000000053
"cell46",2883,24,770.000000000071
"cell47",1271,11,380.083333333317
"cell48",447,4,610.083333333331
"cell49",1012,9,210.000000000006
"cell50",760,7,110.083333333331
"cell51",1778,15,610.083333333331
"cell52",1751,15,340.083333333326
"cell53",1035,9,440.083333333303
"cell54",399,4,130.083333333331
"cell55",1611,14,150.083333333333
"cell56",1257,11,240.00000000001
"cell57",1269,11,360.083333333321
"cell58",1497,13,220.000000000008
"cell59",1031,9,400.083333333312
"cell60",2244,19,430.083333333305
"cell61",2861,24,550.083333333304
"cell62",35,1,120.083333333331
"cell63",1445,12,910.000000000134
"cell64",395,4,90.0833333333326
"cell65",2827,24,210.000000000006
"cell66",1635,14,390.083333333314
"cell67",1910,16,720.000000000048
"cell68",2099,18,190.000000000004
"cell69",1374,12,200.000000000005
"cell70",1518,13,430.083333333305
"cell71",2088,18,80.0833333333331
"cell72",1032,9,410.08333333331
"cell73",1252,11,190.000000000004
"cell74",2347,20,250.000000000011
"cell75",1031,9,400.083333333312
"cell76",1387,12,330.083333333328
"cell77",1738,15,210.000000000006
"cell78",2464,21,210.000000000006
"cell79",1039,9,480.083333333294
"cell80",385,4,0
"cell81",2364,20,420.083333333308
"cell82",761,7,120.083333333331
"cell83",539,5,320.08333333333
"cell84",2136,18,560.083333333309
"cell85",2260,19,590.083333333322
"cell86",1033,9,420.083333333308
"cell87",196,2,520.08333333329
"cell88",290,3,250.000000000011
"cell89",1275,11,420.083333333308
"cell90",1517,13,420.083333333308
"cell91",2212,19,110.083333333331
"cell92",1727,15,100.083333333332
"cell93",171,2,270.000000000008
"cell94",600,5,930.000000000143
"cell95",1869,16,310.083333333333
"cell96",1050,9,590.083333333322
"cell97",65,1,420.083333333308
"cell98",2827,24,210.000000000006
"cell99",2217,19,160.000000000001
"cell100",1036,9,450.083333333301
"cell101",1912,16,740.000000000057
"cell102",541,5,340.083333333326
"cell103",389,4,30.0833333333332
"cell104",2593,22,290.000000000004
"cell105",1868,16,300.000000000002
"cell106",1031,9,400.083333333312
"cell107",2573,22,90.0833333333326
"cell108",2023,17,640.000000000012
"cell109",2333,20,110.083333333331
"cell110",776,7,270.000000000008
"cell111",1028,9,370.083333333319
"cell112",998,9,70.0000000000004
"cell113",276,3,110.083333333331
"cell114",768,7,190.000000000004
"cell115",2338,20,160.000000000001
"cell116",536,5,290.000000000004
"cell117",1629,14,330.083333333328
"cell118",241,2,970.000000000162
"cell119",1113,10,10
"cell120",754,7,50.0000000000003
"cell121",2626,22,620.000000000003
"cell122",461,4,750.000000000062
"cell123",2327,20,50.0000000000003
"cell124",785,7,360.083333333321
"cell125",903,8,330.083333333328
"cell126",2847,24,410.08333333331
"cell127",1643,14,470.083333333296
"cell128",1526,13,510.083333333287
"cell129",292,3,270.000000000008
"cell130",1028,9,370.083333333319
"cell131",1058,9,670.000000000025
"cell132",87,1,640.000000000012
"cell133",1633,14,370.083333333319
"cell134",164,2,200.000000000005
"cell135",1364,12,100.083333333332
"cell136",526,5,190.000000000004
"cell137",1026,9,350.083333333324
"cell138",1020,9,290.000000000004
"cell139",2394,20,720.000000000048
"cell140",1490,13,150.083333333333
"cell141",1011,9,200.000000000005
"cell142",1734,15,170.000000000002
"cell143",1665,14,690.000000000034
"cell144",2340,20,180.000000000003
"cell145",559,5,520.08333333329
"cell146",1060,9,690.000000000034
"cell147",1668,14,720.000000000048
"cell148",2347,20,250.000000000011
"cell149",911,8,410.08333333331
"cell150",2848,24,420.083333333308
"cell151",1018,9,270.000000000008
"cell152",895,8,250.000000000011
"cell153",525,5,180.000000000003
"cell154",2113,18,330.083333333328
"cell155",1560,13,850.000000000107
"cell156",1063,9,720.000000000048
"cell157",2205,19,40
"cell158",1687,14,910.000000000134
"cell159",1032,9,410.08333333331
"cell160",904,8,340.083333333326
"cell161",1033,9,420.083333333308
"cell162",454,4,680.00000000003
"cell163",163,2,190.000000000004
"cell164",2233,19,320.08333333333
"cell165",2738,23,530.083333333295
"cell166",1498,13,230.000000000009
"cell167",1966,17,70.0000000000004
"cell168",521,5,140.083333333332
"cell169",1021,9,300.000000000002
"cell170",164,2,200.000000000005
"cell171",399,4,130.083333333331
"cell172",28,1,50.0000000000003
